Station number,Station name,Region,rainfall,latitude,longitude,Elevation (m)
97085,MOUNT READ,TAS,34.4,-41.84,145.54,1120
97091,QUEENSTOWN (SOUTH QUEENSTOWN),TAS,24.6,-42.1,145.55,118
97072,STRAHAN AERODROME,TAS,20.8,-42.16,145.29,21
97024,WARRA,TAS,20.4,-43.06,146.7,495
97047,SAVAGE RIVER MINE,TAS,18.4,-41.49,145.21,352
91259,LUNCHEON HILL (FORESTRY),TAS,16.8,-41.15,145.15,344
91351,GLENGARRY (GINNS ROAD),TAS,16.6,-41.38,146.82,217
97054,ZEEHAN (WEST COAST PIONEERS MUSEUM),TAS,16.6,-41.88,145.34,175
97092,STRAHAN (ANDREW STREET),TAS,16.2,-42.15,145.32,10
96069,DERWENT BRIDGE,TAS,15,-42.13,146.22,727
91292,SMITHTON AERODROME,TAS,14.8,-40.83,145.08,8
91357,EDITH CREEK (BIRTHDAY CREEK),TAS,14.4,-40.98,145.09,50
95059,TIM SHEA (SUMMIT),TAS,13.4,-42.72,146.47,925
91223,MARRAWAH,TAS,13,-40.91,144.71,107
91321,LOONGANA (SERENDIPITY),TAS,12.2,-41.4,145.93,468
91338,MOUNT ARTHUR SUMMIT,TAS,12.2,-41.28,147.29,1180
97083,SCOTTS PEAK DAM,TAS,11.8,-43.04,146.27,408
91236,WESTBURY (BIRRALEE ROAD),TAS,11.6,-41.51,146.83,186
96003,BUTLERS GORGE,TAS,11,-42.28,146.28,667
97000,CAPE SORELL,TAS,10.6,-42.2,145.17,19
91109,YOLLA (SEA VIEW),TAS,10,-41.14,145.71,343
91364,BOAT HARBOUR,TAS,10,-40.93,145.6,184
92045,LARAPUNA (EDDYSTONE POINT),TAS,10,-40.99,148.35,20
91126,DEVONPORT AIRPORT,TAS,9.4,-41.17,146.43,8
91293,LOW HEAD,TAS,9.2,-41.05,146.79,3
91305,TARGA (MOUNTAIN VIEWS),TAS,9,-41.31,147.38,410
91194,MOUNT VICTORIA (UNA PLAIN),TAS,8.6,-41.35,147.8,710
85063,MOUNT BEST (UPPER TOORA),VIC,8.4,-38.61,146.32,235
90187,BOONAH,VIC,7.8,-38.41,143.98,410
91153,BARRINGTON POST OFFICE,TAS,7.4,-41.34,146.28,264
91107,WYNYARD AIRPORT,TAS,7.2,-41,145.73,12
94191,HARTZ MOUNTAIN (KEOGHS PIMPLE),TAS,7.2,-43.2,146.77,831
90021,COBDEN (POST OFFICE),VIC,7,-38.33,143.08,134
91100,THREE HUMMOCK ISLAND,TAS,6.6,-40.45,144.84,8
91331,KENNAOOK/CAPE GRIM,TAS,6.6,-40.68,144.69,86
91355,BURNIE (PARK GROVE),TAS,6.6,-41.05,145.88,99
94071,EAGLEHAWK NECK (JETTY ROAD),TAS,6.4,-43.02,147.91,12
90188,BENWERRIN,VIC,6.2,-38.48,143.91,-999
94231,LONGLEY (RIVER BEND ROAD),TAS,6.2,-42.96,147.2,237
91055,LORINNA,TAS,6,-41.54,146.14,259
91365,SPRENT,TAS,5.8,-41.26,146.16,270
94214,MOUNT DROMEDARY,TAS,5.8,-42.7,147.13,462
86373,RHYLL,VIC,5.2,-38.46,145.31,13
91219,SCOTTSDALE (WEST MINSTONE ROAD),TAS,5.2,-41.17,147.49,198
91366,JACKEYS MARSH,TAS,5.2,-41.68,146.68,489
94239,LESLIE VALE,TAS,5.2,-42.96,147.24,305
87162,GNARWARRE (BARWON RIVER AT POLLOCKSFORD),VIC,4.8,-38.14,144.19,40
85291,MOUNT BAW BAW,VIC,4.6,-37.84,146.27,1561
91267,MEANDER (MEANDER RIVER),TAS,4.6,-41.65,146.62,292
92123,SWAN ISLAND,TAS,4.6,-40.73,148.13,15
85099,POUND CREEK,VIC,4.4,-38.63,145.81,3
90183,HAINES JUNCTION (MOUNT SABINE),VIC,4.4,-38.63,143.73,583
91303,WESTWOOD BRIDGE (MEANDER RIVER),TAS,4.4,-41.52,147.03,137
94041,MAATSUYKER ISLAND LIGHTHOUSE,TAS,4.4,-43.66,146.27,147
85007,BALOOK,VIC,4.2,-38.43,146.54,585
90185,LORNE (MOUNT COWLEY),VIC,4,-38.55,143.86,657
91291,SHEFFIELD SCHOOL FARM,TAS,4,-41.39,146.32,277
91332,RAILTON (DOWBIGGIN STREET),TAS,4,-41.35,146.42,75
92111,UPPER ESK (SOUTH ESK RIVER),TAS,4,-41.43,147.72,362
91198,MOUNT BARROW (SOUTH BARROW),TAS,3.8,-41.39,147.42,1313
94020,DOVER,TAS,3.8,-43.33,147,20
90180,AIREYS INLET,VIC,3.4,-38.46,144.09,105
91260,STRATHBRIDGE (MEANDER RIVER),TAS,3.4,-41.49,146.9,160
91227,DELORAINE RAILWAY BRIDGE (MEANDER RIVER),TAS,3.2,-41.53,146.66,240
95003,BUSHY PARK (BUSHY PARK ESTATES),TAS,3.2,-42.71,146.9,27
96033,LIAWENEE,TAS,3.2,-41.9,146.67,1057
82076,DARTMOUTH RESERVOIR,VIC,3,-36.54,147.5,370
87184,BREAKWATER (GEELONG RACECOURSE),VIC,3,-38.17,144.38,13
90077,TERANG,VIC,3,-38.24,142.92,131
91266,KIMBERLEY (MERSEY RIVER),TAS,3,-41.4,146.5,60
95079,LACHLAN (WILLIAMS ROAD),TAS,3,-42.85,147.03,168
91271,NUNAMARA OFFTAKE (ST PATRICKS RIVER),TAS,2.8,-41.4,147.3,351
91311,LAUNCESTON AIRPORT,TAS,2.8,-41.55,147.22,167
91326,DEDDINGTON (NILE RIVER),TAS,2.8,-41.6,147.41,240
94179,JUDBURY (HUON RIVER),TAS,2.8,-43,146.93,21
94220,GROVE (RESEARCH STATION),TAS,2.8,-42.98,147.08,65
94248,SORELL (ABBATOIRS),TAS,2.8,-42.8,147.56,10
89018,LISMORE (POST OFFICE),VIC,2.6,-37.95,143.34,178
94125,MARGATE (SUNNYSIDE),TAS,2.6,-43.02,147.25,24
94155,TASMAN ISLAND,TAS,2.6,-43.24,148,240
94274,FERN TREE (WESTRINGA ROAD),TAS,2.6,-42.93,147.25,401
98000,CITY OF MELBOURNE BAY,TAS,2.6,-40.01,144.11,18
91263,CORRA LINN (NORTH ESK RIVER),TAS,2.4,-41.49,147.23,41
94254,DUNALLEY (STROUD POINT),TAS,2.4,-42.9,147.79,12
95048,OUSE FIRE STATION,TAS,2.4,-42.48,146.71,90
85310,YARRAGON SOUTH,VIC,2.2,-38.27,146.09,413
33302,MIRANI WEIR TW ALERT,QLD,2,-21.18,148.83,34
39352,BUNDABERG ALERT,QLD,2,-24.86,152.35,17
85096,WILSONS PROMONTORY LIGHTHOUSE,VIC,2,-39.13,146.42,95
90186,WARRNAMBOOL AIRPORT NDB,VIC,2,-38.29,142.45,71
94064,WATTLE HILL,TAS,2,-42.76,147.62,104
94087,KUNANYI (MOUNT WELLINGTON PINNACLE),TAS,2,-42.9,147.24,1261
83095,ANGLERS REST (BUNDARRAH VALLEY),VIC,1.8,-37,147.41,790
86213,ROSEBUD (COUNTRY CLUB),VIC,1.8,-38.38,144.9,20
90060,NULLAWARRE,VIC,1.8,-38.47,142.75,55
92109,UPPER BLESSINGTON,TAS,1.8,-41.46,147.57,440
92153,COPPING (YAXLEY ESTATE),TAS,1.8,-42.82,147.79,150
94022,FORT DIRECTION,TAS,1.8,-43.04,147.41,26
94172,TEA TREE (THE POINT),TAS,1.8,-42.65,147.36,345
94195,TUNNACK FIRE STATION,TAS,1.8,-42.45,147.46,462
95081,NEW NORFOLK (WEST),TAS,1.8,-42.78,147.03,10
300004,MACQUARIE ISLAND,ANT,1.8,-54.5,158.94,6
44233,BAKERS BEND AL,QLD,1.6,-26.71,146.11,261
86266,FERNY CREEK,VIC,1.6,-37.87,145.35,513
94204,TEA TREE POINT,TAS,1.6,-42.65,147.36,350
94275,CLIFTON BEACH (CAPE DESLACS),TAS,1.6,-42.97,147.53,10
200284,COCOS ISLAND AIRPORT,WA,1.6,-12.19,96.83,3
85308,THORPDALE PEAK,VIC,1.4,-38.31,146.21,360
85309,MOE SOUTH,VIC,1.4,-38.22,146.25,365
92020,LEWIS HILL (ST PAULS RIVER),TAS,1.4,-41.82,147.96,229
92079,TOOMS LAKE (TOOMS RIVER),TAS,1.4,-42.21,147.78,469
92158,NUGENT (TWILIGHT VALLEY TBRG),TAS,1.4,-42.72,147.75,318
93046,BIRRALEE CREEK,TAS,1.4,-42.31,147.57,390
85009,TRARALGON EPA,VIC,1.2,-38.2,146.53,-999
85151,YARRAM AIRPORT,VIC,1.2,-38.56,146.75,18
85307,JEERALANG NORTH,VIC,1.2,-38.35,146.44,606
93053,ROSS (THE BOULEVARDS),TAS,1.2,-42.03,147.5,186
98017,KING ISLAND AIRPORT,TAS,1.2,-39.88,143.89,35
32009,BINGIL BAY,QLD,1,-17.84,146.1,25
85289,MURDERERS HILL,VIC,1,-37.85,146.56,720
85313,NILMA NORTH (WARRAGUL),VIC,1,-38.13,145.99,134
87016,MOORABOOL RIVER AT MORRISONS,VIC,1,-37.77,144.1,-999
91325,HUMMOCKY HILLS,TAS,1,-41.73,147.24,477
91375,CRESSY (BRUMBYS CREEK),TAS,1,-41.71,147.08,152
93049,MOUNT SEYMOUR,TAS,1,-42.37,147.46,628
94212,CAMPANIA (KINCORA),TAS,1,-42.69,147.43,45
8304,MOASCAR,WA,0.8,-28.96,114.95,254
85280,MORWELL (LATROBE VALLEY AIRPORT),VIC,0.8,-38.21,146.47,56
86361,CERBERUS,VIC,0.8,-38.36,145.18,13
92154,LITTLE SWANPORT (LISDILLON FARM),TAS,0.8,-42.29,148,20
93044,LLEWELLYN (SOUTH ESK RIVER),TAS,0.8,-41.82,147.57,180
94143,MAURICETON (JORDAN RIVER),TAS,0.8,-42.53,147.12,149
96083,THE DEN,TAS,0.8,-41.98,147.05,526
300000,DAVIS,ANT,0.8,-68.57,77.97,18
86096,PRESTON RESERVOIR,VIC,0.6,-37.72,145.01,94
86104,SCORESBY RESEARCH INSTITUTE,VIC,0.6,-37.87,145.26,80
87043,MEREDITH (DARRA),VIC,0.6,-37.82,144.15,362
89002,BALLARAT AERODROME,VIC,0.6,-37.51,143.79,435
90175,PORT FAIRY AWS,VIC,0.6,-38.39,142.23,10
91237,LAUNCESTON (TI TREE BEND),TAS,0.6,-41.42,147.12,5
92146,LAKE LEAKE (FWS),TAS,0.6,-42.01,147.8,570
92157,TRIABUNNA (SALMONS FLATS),TAS,0.6,-42.51,147.9,13
93051,ROSS (MACQUARIE RIVER),TAS,0.6,-42.03,147.49,185
94182,BELOW CRAIGBOURNE DAM (COAL RIVER),TAS,0.6,-42.56,147.4,150
94198,CAPE BRUNY (CAPE BRUNY),TAS,0.6,-43.49,147.14,60
96038,VERWOOD (ISIS RIVER),TAS,0.6,-42.06,147.29,308
96081,POATINA,TAS,0.6,-41.8,146.96,312
32037,SOUTH JOHNSTONE EXP STN,QLD,0.4,-17.61,146,18
83085,MOUNT HOTHAM,VIC,0.4,-36.98,147.13,1849
85021,MOUNT USEFUL,VIC,0.4,-37.7,146.52,1440
86038,ESSENDON AIRPORT,VIC,0.4,-37.73,144.91,78
86068,VIEWBANK,VIC,0.4,-37.74,145.1,66
87168,SHE OAKS,VIC,0.4,-37.91,144.13,237
88071,BULLARTO SOUTH,VIC,0.4,-37.42,144.21,790
89084,WARRAMBINE CK AT WARRAMBINE,VIC,0.4,-37.93,143.87,180
90035,COLAC (MOUNT GELLIBRAND),VIC,0.4,-38.23,143.79,261
90167,WINCHELSEA (POST OFFICE),VIC,0.4,-38.24,143.99,85
90171,PORTLAND AIRPORT,VIC,0.4,-38.31,141.47,81
90176,MORTLAKE RACECOURSE,VIC,0.4,-38.07,142.77,130
92003,BICHENO (COUNCIL DEPOT),TAS,0.4,-41.87,148.3,11
92120,ST HELENS AERODROME,TAS,0.4,-41.34,148.28,48
92144,MONAMETA (MATHINNA RD),TAS,0.4,-41.55,147.99,250
92163,FINGAL (FLEMING ST),TAS,0.4,-41.64,147.98,255
94029,HOBART (ELLERSLIE ROAD),TAS,0.4,-42.89,147.33,51
94255,DENNES POINT,TAS,0.4,-43.06,147.36,6
99005,FLINDERS ISLAND AIRPORT,TAS,0.4,-40.09,148,9
200838,HOGAN ISLAND,TAS,0.4,-39.22,146.98,116
8202,BINDI BINDI NORTH,WA,0.2,-30.62,116.38,315
9037,BADGINGARRA RESEARCH STN,WA,0.2,-30.34,115.54,275
9573,MANJIMUP,WA,0.2,-34.25,116.15,287
9998,NORTH WALPOLE,WA,0.2,-34.95,116.72,73
12044,MUNGLINUP WEST,WA,0.2,-33.55,120.7,220
14142,PIRLANGIMPI AIRPORT,NT,0.2,-11.4,130.42,18
22823,CAPE BORDA,SA,0.2,-35.75,136.6,158
79101,PYRENEES (BEN NEVIS),VIC,0.2,-37.23,143.2,875
79103,GRAMPIANS (MOUNT WILLIAM),VIC,0.2,-37.3,142.6,1150
82140,LIMA EAST (CHARNWOOD),VIC,0.2,-36.85,145.94,340
82151,SEVEN CREEKS AT STRATHBOGIE,VIC,0.2,-36.86,145.73,470
83001,OVENS RIVER @ HARRIETVILLE,VIC,0.2,-36.88,147.06,-999
83024,MOUNT BULLER,VIC,0.2,-37.15,146.44,1707
85288,MOUNT TAMBORITHA,VIC,0.2,-37.47,146.69,1446
85303,REEVES KNOB,VIC,0.2,-37.53,147.01,-999
85314,EAST SALE AIRPORT,VIC,0.2,-38.1,147.14,5
86074,MITCHAM,VIC,0.2,-37.82,145.19,155
86338,MELBOURNE (OLYMPIC PARK),VIC,0.2,-37.83,144.98,8
88154,GLENBURN (HIGHWOOD TBRG),VIC,0.2,-37.39,145.48,313
90015,CAPE OTWAY LIGHTHOUSE,VIC,0.2,-38.86,143.51,80
90173,HAMILTON AIRPORT,VIC,0.2,-37.65,142.06,241
90182,CASTERTON,VIC,0.2,-37.58,141.33,131
92149,GRINDSTONE POINT,TAS,0.2,-42.45,147.98,10
92155,BUCKLAND (BROCKLEY ROAD),TAS,0.2,-42.58,147.78,77
93052,MOUNT MORRISTON (MACQUARIE RIVER),TAS,0.2,-42.16,147.58,218
94250,HOBART AIRPORT,TAS,0.2,-42.83,147.51,2
95046,BOTHWELL (CLYDE RIVER),TAS,0.2,-42.38,147,350
96070,HERMITAGE (SHANNON RIVER),TAS,0.2,-42.26,146.88,500
18079,STREAKY BAY,SA,0.1,-32.81,134.2,45
83091,JAMIESON LICOLA RD,VIC,0.1,-37.3,146.15,340
1006,WYNDHAM AERO,WA,0,-15.51,128.15,4
1007,TROUGHTON ISLAND,WA,0,-13.75,126.15,6
1019,KALUMBURU,WA,0,-14.3,126.65,23
1020,TRUSCOTT,WA,0,-14.09,126.39,51
1024,ELLENBRAE,WA,0,-15.96,127.06,300
1025,DOONGAN,WA,0,-15.38,126.31,385
1035,PARRY CREEK FARM,WA,0,-15.6,128.28,20
2009,GIBB RIVER,WA,0,-16.42,126.44,488
2021,MOUNT AMHURST,WA,0,-18.39,126.99,300
2022,MOUNT WINIFRED,WA,0,-18.02,126.3,180
2030,YULMBU,WA,0,-17.3,126.92,450
2036,OLD MORNINGTON HOMESTEAD,WA,0,-17.39,126.23,280
2043,MOUNT KRAUSS,WA,0,-18.34,126.12,160
2051,BILLILUNA,WA,0,-19.56,127.67,305
2053,LANSDOWNE,WA,0,-17.61,126.74,400
2056,KUNUNURRA AERO,WA,0,-15.78,128.71,44
2068,MARION DOWNS,WA,0,-17.07,126.85,460
2072,BEDFORD DOWNS AIRSTRIP,WA,0,-17.28,127.46,531
2073,MARGARET RIVER AIRSTRIP,WA,0,-18.62,126.88,270
2074,MOOLA BULLA AIRSTRIP,WA,0,-18.2,127.49,440
2077,SIDDINS CREEK,WA,0,-16.92,126.55,410
2078,LARRAWA AIRFIELD,WA,0,-18.83,126.53,270
2079,HALLS CREEK AIRPORT,WA,0,-18.23,127.67,409
3003,BROOME AIRPORT,WA,0,-17.95,122.24,7
3032,DERBY AERO,WA,0,-17.37,123.66,6
3051,MOUNT BARNETT,WA,0,-16.74,125.91,401
3052,MOUNT HART STATION,WA,0,-16.82,124.92,190
3057,CYGNET BAY,WA,0,-16.45,123.01,7
3080,CURTIN AERO,WA,0,-17.58,123.83,78
3093,FITZROY CROSSING AERO,WA,0,-18.18,125.56,115
3094,WINDJANA GORGE,WA,0,-17.42,124.92,95
3098,MOUNT HOUSE AIRSTRIP,WA,0,-17.05,125.71,270
3099,LEOPOLD DOWNS TBRG,WA,0,-17.75,125.38,220
3101,DAMPIER DOWNS AIRSTRIP,WA,0,-18.51,123.47,140
3108,YAMPI SOUND (DEFENCE),WA,0,-16.77,123.98,41
4019,MANDORA,WA,0,-19.74,120.84,8
4032,PORT HEDLAND AIRPORT,WA,0,-20.37,118.63,6
4083,KARRATHA AERO,WA,0,-20.71,116.77,5
4090,ROEBOURNE AERO,WA,0,-20.76,117.16,11
4106,MARBLE BAR,WA,0,-21.18,119.75,182
5007,LEARMONTH AIRPORT,WA,0,-22.24,114.1,5
5008,MARDIE,WA,0,-21.19,115.98,11
5017,ONSLOW AIRPORT,WA,0,-21.67,115.11,11
5051,EXMOUTH TOWN,WA,0,-21.93,114.13,13
5084,THEVENARD ISLAND,WA,0,-21.46,115.02,5
5094,BARROW ISLAND AIRPORT,WA,0,-20.87,115.41,6
5098,KARIJINI NORTH,WA,0,-22.3,118.45,474
6011,CARNARVON AIRPORT,WA,0,-24.89,113.67,4
6104,MINNIE CREEK AIRSTRIP,WA,0,-24.03,115.69,276
6105,SHARK BAY AIRPORT,WA,0,-25.89,113.58,34
6111,WINDERIE AIRSTRIP,WA,0,-25.31,115.15,200
6112,LYONS RIVER AIRSTRIP,WA,0,-24.62,115.33,198
6113,BULLARDOO TBRG,WA,0,-27.86,115.67,299
7008,BRYAH,WA,0,-25.51,118.8,550
7045,MEEKATHARRA AIRPORT,WA,0,-26.61,118.54,517
7139,PAYNES FIND,WA,0,-29.27,117.68,339
7176,NEWMAN AERO,WA,0,-23.42,119.8,524
7185,PARABURDOO AERO,WA,0,-23.17,117.75,424
7207,LANDOR AIRSTRIP,WA,0,-25.13,116.94,385
7208,MOUNT AUGUSTUS AIRSTRIP,WA,0,-24.31,116.91,389
7209,COBRA AIRSTRIP,WA,0,-24.2,116.48,373
7210,BURRINGURRAH AIRSTRIP,WA,0,-24.63,116.95,454
7211,DALGETY DOWNS AIRSTRIP,WA,0,-25.27,116.22,307
7212,GINGINJIBBY,WA,0,-24.61,117.65,-999
7501,NARLOO,WA,0,-27.88,116.26,337
7502,GREENOUGH RVR TBRG @ YUIN,WA,0,-27.98,116.03,290
7600,MOUNT MAGNET AERO,WA,0,-28.12,117.84,407
8095,MULLEWA,WA,0,-28.54,115.51,268
8137,WONGAN HILLS,WA,0,-30.89,116.72,283
8237,TENINDEWA,WA,0,-28.69,115.28,260
8251,KALBARRI,WA,0,-27.71,114.17,6
8290,NORTH ISLAND,WA,0,-28.3,113.59,2
8296,MORAWA AIRPORT,WA,0,-29.2,116.02,271
8297,DALWALLINU,WA,0,-30.28,116.67,325
8298,TIBRADDEN,WA,0,-28.76,114.94,265
8299,ARRADALE,WA,0,-29.11,115.32,270
8300,TABLETOP,WA,0,-29.07,115.09,240
8301,BARBERTON EAST,WA,0,-30.75,116.13,325
8302,WONGAN HILLS NORTH,WA,0,-30.85,116.72,341
8307,COOLANGATTA ALERT,WA,0,-28.89,115.44,260
8308,TARDUN HILL,WA,0,-28.8,115.76,340
8309,BELLENDAINE,WA,0,-29.3,115.66,240
8310,SOUTH HOLMWOOD ALERT,WA,0,-29.03,115.55,260
8315,GERALDTON AIRPORT,WA,0,-28.8,114.7,30
8316,YALLALIE BASIN,WA,0,-30.38,115.85,274
8317,ANRO TBRG,WA,0,-30.36,116.29,320
8318,MINDALLA TBRG,WA,0,-30.42,116.46,300
8320,DAISY DOWNS,WA,0,-28.38,115.46,294
8321,TALLERING TBRG,WA,0,-28.38,115.85,319
9021,PERTH AIRPORT,WA,0,-31.93,115.98,15
9023,JARRAHDALE,WA,0,-32.33,116.08,240
9039,SERPENTINE,WA,0,-32.35,116.01,120
9053,PEARCE RAAF,WA,0,-31.67,116.02,40
9066,GIDGEGANNUP,WA,0,-31.79,116.2,290
9111,KARNET,WA,0,-32.44,116.08,286
9172,JANDAKOT AERO,WA,0,-32.1,115.88,30
9178,GINGIN AERO,WA,0,-31.46,115.86,73
9193,ROTTNEST ISLAND,WA,0,-32.01,115.5,43
9215,SWANBOURNE,WA,0,-31.96,115.76,41
9225,PERTH METRO,WA,0,-31.92,115.87,25
9240,BICKLEY,WA,0,-32.01,116.14,384
9248,MOONDAH BROOK,WA,0,-31.33,115.95,113
9256,GARDEN ISLAND HSF,WA,0,-32.24,115.68,6
9260,MOUNT SOLUS,WA,0,-32.47,116.21,574
9268,JULIMAR FOREST,WA,0,-31.46,116.37,342
9271,BUNGENDORE,WA,0,-32.19,116.06,200
9274,MINSTON PARK,WA,0,-31.26,116.13,298
9275,MUCHEA,WA,0,-31.59,115.97,60
9277,LAKE CHITTERING,WA,0,-31.43,116.09,130
9278,YOONGARILLUP TBRG,WA,0,-33.74,115.47,54
9279,CANTERBURY,WA,0,-31,116.23,304
9280,LANCELIN (DEFENCE),WA,0,-30.84,115.23,3
9281,MILLENDON (SWAN VALLEY),WA,0,-31.81,116.02,16
9500,ALBANY,WA,0,-35.03,117.88,3
9518,CAPE LEEUWIN,WA,0,-34.37,115.14,13
9519,CAPE NATURALISTE,WA,0,-33.54,115.02,109
9542,ESPERANCE AERO,WA,0,-33.68,121.83,142
9603,BUSSELTON AERO,WA,0,-33.68,115.4,16
9617,BRIDGETOWN,WA,0,-33.95,116.13,179
9635,FRANKLAND,WA,0,-34.36,117.08,230
9769,CULFORD,WA,0,-32.57,116.44,335
9776,ASTON DOWNS ALERT,WA,0,-33.79,115.32,80
9789,ESPERANCE,WA,0,-33.83,121.89,25
9842,JARRAHWOOD,WA,0,-33.8,115.67,130
9871,WINDY HARBOUR,WA,0,-34.84,116.03,5
9877,LUDLOW,WA,0,-33.6,115.5,15
9961,HOPETOUN NORTH,WA,0,-33.93,120.13,26
9964,ROCKY GULLY,WA,0,-34.57,117.01,250
9965,BUNBURY,WA,0,-33.36,115.64,5
9968,SHANNON,WA,0,-34.57,116.34,210
9971,ACTON PARK,WA,0,-33.78,115.41,120
9976,PINJARRA SOUTH,WA,0,-32.65,115.86,13
9977,MANDURAH,WA,0,-32.52,115.71,3
9978,JINDONG,WA,0,-33.76,115.21,42
9982,HENTY BROOK,WA,0,-33.39,115.85,240
9987,PAYNEDALE ALERT,WA,0,-33.64,115.7,100
9988,HAPPY VALLEY,WA,0,-33.68,115.62,100
9989,THOMSON BROOK,WA,0,-33.65,115.96,260
9990,BOYANUP NORTH,WA,0,-33.48,115.74,43
9991,DONNYBROOK EAST,WA,0,-33.57,115.84,120
9992,CAPEL NORTH,WA,0,-33.54,115.55,20
9994,COLLIE EAST,WA,0,-33.36,116.17,200
9997,RAVENSCLIFFE ALERT,WA,0,-33.76,115.84,200
9999,ALBANY AIRPORT,WA,0,-34.94,117.82,68
10000,AMERY ACRES,WA,0,-31.17,117.07,340
10007,BENCUBBIN,WA,0,-30.81,117.86,359
10031,YORKRAKINE TBRG,WA,0,-31.37,117.59,300
10064,BOLGART BIN,WA,0,-31.27,116.51,240
10089,LONG FOREST,WA,0,-31.35,116.65,299
10092,MERREDIN,WA,0,-31.48,118.28,315
10111,NORTHAM,WA,0,-31.65,116.66,170
10129,MOUNT NODDY,WA,0,-31.59,116.89,-999
10132,MOUNT HARDEY,WA,0,-31.92,116.82,283
10230,WAEEL,WA,0,-31.62,117.06,-999
10245,BERRING,WA,0,-31.3,116.9,257
10286,CUNDERDIN AIRFIELD,WA,0,-31.62,117.22,217
10307,QUADNEY,WA,0,-31.79,116.63,310
10308,TOODYAY EAST,WA,0,-31.55,116.49,150
10310,WERRIBEE,WA,0,-31.77,116.33,295
10311,YORK,WA,0,-31.9,116.77,179
10511,WICKEPIN SOUTH,WA,0,-32.8,117.5,380
10515,BEVERLEY,WA,0,-32.11,116.92,199
10524,BROOKTON,WA,0,-32.37,117.01,250
10527,BULYEE,WA,0,-32.37,117.52,264
10556,COONDEE,WA,0,-32.48,116.81,262
10568,HYDEN,WA,0,-32.44,118.9,299
10582,KOJONUP,WA,0,-33.83,117.16,305
10614,NARROGIN,WA,0,-32.93,117.18,338
10626,PINGELLY,WA,0,-32.53,117.08,297
10692,NEWDEGATE RESEARCH STATION,WA,0,-33.11,118.84,320
10905,JACUP,WA,0,-33.89,119.11,305
10908,YANGEDINE,WA,0,-32.03,116.87,260
10911,LAKE GRACE,WA,0,-33.1,118.46,286
10912,YEALERING EAST,WA,0,-32.59,117.64,286
10916,KATANNING,WA,0,-33.69,117.61,320
10917,WANDERING,WA,0,-32.67,116.67,275
10919,WILGARRA,WA,0,-32.69,116.61,399
10920,MOUNT WESTDALE,WA,0,-32.27,116.67,360
10923,WILLIAMS NORTH,WA,0,-33,116.85,298
11003,EUCLA,WA,0,-31.68,128.9,93
11019,EYRE,WA,0,-32.25,126.3,6
